scenario,intensity_num,config,lambda1_static,lambda1_dyn,lambda1_star,amp_ratio
north_res,0.01,mask_S,1175747835365.28,1205628186.83933,958783432.420596,0.836778256541015
north_res,0.01,mask_SU,1175747835365.28,157089234392.385,8626542491.02344,0.653598259321092
north_res,0.01,mask_SUR,1175747835365.28,660937043670.621,31862200.0323113,0.172905927895793
north_res,0.01,mask_SURC,1175747835365.28,658592031635.757,46686621.8087388,0.18246115745951
north_res,0.05,mask_S,1175747835365.28,891306324.102767,718630570.141527,0.186684583001823
north_res,0.05,mask_SU,1175747835365.28,129844964899.075,7569509927.46018,0.220807755086799
north_res,0.05,mask_SUR,1175747835365.28,660076946839.658,21503363.205416,0.0699915797578541
north_res,0.05,mask_SURC,1175747835365.28,657410681686.729,52366682.3605686,0.0814734775231429
north_res,0.1,mask_S,1175747835365.28,796674638.959744,715282122.06032,0.104261349417474
north_res,0.1,mask_SU,1175747835365.28,796674638.959744,715282122.06032,0.104261349417474
north_res,0.1,mask_SUR,1175747835365.28,544598650801.418,158057168135.703,0.0421520745523031
north_res,0.1,mask_SURC,1175747835365.28,640093589426.675,254960572240.987,0.0463893419753676
north_res,0.15,mask_S,1175747835365.28,854406077.225653,832102025.452293,0.0739743786981498
north_res,0.15,mask_SU,1175747835365.28,854406077.225653,832102025.452293,0.0739743786981498
north_res,0.15,mask_SUR,1175747835365.28,390760523749.215,49278567.9562365,0.0300177651399627
north_res,0.15,mask_SURC,1175747835365.28,443203922922.845,64732402040.2417,0.0326975943849804
north_res,0.2,mask_S,1175747835336.07,730035813.022944,571604698.215022,0.0617135641409974
north_res,0.2,mask_SU,1175747835336.07,730035813.022944,571604698.215022,0.0617135641409974
north_res,0.2,mask_SUR,1175747835336.07,383834896579.19,48675609.5885325,0.0237746309452394
north_res,0.2,mask_SURC,1175747835336.07,15630835631.2961,106677294.675283,0.0317007092807776
