arm,intensity,intensity_num,n_runs,eq_init_sys,eq_t0_sys,eq_frozen_sys,eq_zero_sys,eq_loss_resid_pct,eq_loss_frozen_pct,njc_bn,eq_t0,eq_final,n_defaults_ill,n_defaults_ins,prompted_liq_bn,repo_pledged_bn,cb_pledged_bn,eq_loss_pct,n_defaults,eq_init_sys_se,eq_t0_sys_se,eq_frozen_sys_se,eq_zero_sys_se,eq_loss_resid_pct_se,eq_loss_frozen_pct_se,njc_bn_se,eq_t0_se,eq_final_se,n_defaults_ill_se,n_defaults_ins_se,prompted_liq_bn_se,repo_pledged_bn_se,cb_pledged_bn_se,eq_loss_pct_se,n_defaults_se,arm_label
mask_S,0.01,0.01,1,1178459608115.54,1167222016174.59,1145297377586.16,1133934835908.01,2.85182936967498,1.87836061045909,51.3457724104508,1167222016174.59,1133934835908.01,2,0,0,0,0,2.85182936967494,2,,,,,,,,,,,,,,,,,S (sales only)
mask_S,0.05,0.05,1,1178459608115.54,1122271648410.78,1098540426353.5,1042735555048.87,7.08706251953691,2.11457021932971,341.00672940063,1122271648410.78,1042735555048.87,6,0,0,0,0,7.08706251953689,6,,,,,,,,,,,,,,,,,S (sales only)
mask_S,0.1,0.1,1,1178459608115.54,1066083688706.02,1041134625206.53,824454394369.057,22.6651337879716,2.3402537496632,1358.95694118223,1066083688706.02,824454394369.057,12,0,0,0,0,22.6651337879716,12,,,,,,,,,,,,,,,,,S (sales only)
mask_S,0.15,0.15,1,1178459608115.54,1009895729001.26,982300284225.856,690021745310.805,31.6739614303344,2.73250435494893,2158.15684785473,1009963066511.01,690021745310.806,15,1,0,0,0,31.6785169486902,16,,,,,,,,,,,,,,,,,S (sales only)
mask_S,0.2,0.2,1,1178459608115.54,953707769296.498,921775760689.841,665906541720.21,30.1770874519125,3.34819633798426,1982.04011874853,958087552021.873,665906541720.21,14,4,0,0,0,30.4962745508035,18,,,,,,,,,,,,,,,,,S (sales only)
mask_S,0.5,0.5,1,1178459608115.54,616580011067.935,584921820255.678,439351700394.249,28.7437652035981,5.13448218300564,2994.35762312375,747329242834.937,439351700394.249,10,15,0,0,0,41.210423035555,25,,,,,,,,,,,,,,,,,S (sales only)
mask_S,1,1,1,1178459608115.54,54700414020.3304,24606370360.6552,425834303009.591,-678.484606809964,55.0161167856796,2102.57865280385,607408672021.531,425834303009.591,5,22,0,0,0,29.8932790023622,27,,,,,,,,,,,,,,,,,S (sales only)
mask_SU,0.01,0.01,1,1178459608115.54,1167222016174.59,1153108657454.76,1148587024910.29,1.5965249974782,1.20914089387067,22.5525622770323,1167222016174.59,1148587024910.29,1,0,0,0,0,1.59652499747818,1,,,,,,,,,,,,,,,,,S+U (+ unsecured)
mask_SU,0.05,0.05,1,1178459608115.54,1122271648410.78,1105999539393.04,1056259805390.15,5.88198437643006,1.44992605317778,312.299315607575,1122271648410.78,1056259805390.15,5,0,0,0,0,5.88198437643004,5,,,,,,,,,,,,,,,,,S+U (+ unsecured)
mask_SU,0.1,0.1,1,1178459608115.54,1066083688706.02,1041134625206.53,824454394369.057,22.6651337879716,2.3402537496632,1358.95694118223,1066083688706.02,824454394369.057,12,0,0,0,0,22.6651337879716,12,,,,,,,,,,,,,,,,,S+U (+ unsecured)
mask_SU,0.15,0.15,1,1178459608115.54,1009895729001.26,982300284225.856,690021745310.805,31.6739614303344,2.73250435494893,2158.15684785473,1009963066511.01,690021745310.806,15,1,0,0,0,31.6785169486902,16,,,,,,,,,,,,,,,,,S+U (+ unsecured)
mask_SU,0.2,0.2,1,1178459608115.54,953707769296.498,921775760689.841,665906541720.21,30.1770874519125,3.34819633798426,1982.04011874853,958087552021.873,665906541720.21,14,4,0,0,0,30.4962745508035,18,,,,,,,,,,,,,,,,,S+U (+ unsecured)
mask_SU,0.5,0.5,1,1178459608115.54,616580011067.935,585891193840.665,439547228073.194,28.7120535562149,4.9772643738671,2994.20707808746,747329242834.937,439547228073.194,10,15,0,0,0,41.1842595097972,25,,,,,,,,,,,,,,,,,S+U (+ unsecured)
mask_SU,1,1,1,1178459608115.54,54700414020.3304,24834913589.2665,426007746304.602,-678.8016853881,54.5983078299259,2102.51162464432,607408672021.531,426007746304.602,5,22,0,0,0,29.8647243729999,27,,,,,,,,,,,,,,,,,S+U (+ unsecured)
mask_SUR,0.01,0.01,10,1178459608115.54,1167222016174.59,1163431515355.72,1158909520082.55,0.712160666681364,0.324745486835116,22.5663774963124,1167222016174.59,1158909520082.55,1,0,0,24.8305218523588,0,0.712160666681331,1,0,0,7107446.14362921,7102707.93832022,0.000608513876528679,0.000608919815179883,0.000124016160248812,0,7102707.93832991,0,0,0,0.183732556007715,0,0.000608513876529508,0,S+U+R (+ repo)
mask_SUR,0.05,0.05,10,1178459608115.54,1122271648410.78,1117772799312.4,1068030442387.28,4.83316192655394,0.400869887852337,312.303701098958,1122271648410.78,1068030442387.28,5,0,0,30.490002617303,0,4.83316192655393,5,0,0,16539284.9101773,16508732.9968301,0.00147101042962348,0.00147373275744764,0.000354244331124313,0,16508732.9968069,0,0,0,0.202688925614485,0,0.0014710104296214,0,S+U+R (+ repo)
mask_SUR,0.1,0.1,10,1178459608115.54,1066083688706.02,1054314806558.25,836360661481.736,21.5483108556997,1.10393604859012,1364.86586239034,1066083688706.02,836360661481.736,12,0,0,37.3763053950896,0,21.5483108556997,12,0,0,36740437.2480349,31915461.0105147,0.00299371065786147,0.00344629953888793,0.0242608093086756,0,31915461.0105118,0,0,0,0.0698835948646155,0,0.00299371065786148,0,S+U+R (+ repo)
mask_SUR,0.15,0.15,10,1178459608115.54,1009895729001.26,997451660742.696,804328478049.384,20.3552946159275,1.23221317817329,1430.93798145475,1009963066511.01,804328478049.384,14.6,1,0,42.2782070934401,0,20.3606047864704,15.6,0,0,15839020.2625929,1100878665.34124,0.109009141610091,0.00156838174553495,5.22189673792236,0,1100878665.34123,0.163299316185545,0,0,0.0971304690147722,0,0.109001873617448,0.163299316185545,S+U+R (+ repo)
